file,documents,words,size(M)
cereal.ad,8335,5185339,33
cereal.ar,16290778,12801219868,77000
cereal.bo,546836,411271023,2500
cereal.cat,616178,442202951,2700
cereal.cl,8747053,6589894993,41000
cereal.co,5602016,4873779254,30000
cereal.cr,459283,368633987,2300
cereal.cu,942291,1107823343,6600
cereal.do,909724,626587024,3900
cereal.ec,1211732,835942678,5200
cereal.es,50088321,48821356834,291000
cereal.eus,546278,442229381,2700
cereal.gal,102583,95772948,584
cereal.gq,17714,20411458,120
cereal.gt,470774,278048894,1700
cereal.hn,499980,300205673,1900
cereal.mx,14382396,10829453655,66000
cereal.ni,332416,236102524,1500
cereal.pa,349419,255371136,1600
cereal.pe,3430186,2868606294,18000
cereal.ph,2386,1772966,11
cereal.pr,139408,73830066,457
cereal.py,582619,361641945,2300
cereal.sv,358111,206402603,1300
cereal.us,164565,146348697,889
cereal.uy,1408106,1212536074,7300
cereal.ve,1352024,1123220785,6900
TOTAL,109561512,95335852393,1029000 